fill	x	y	showSelectedlegendfill
#000000	1.70718670661173	-1.21113958606065	min
#000000	1.86872738718107	-0.271336039885982	min
#000000	1.79565978525711	-2.7520314468091	min
#000000	1.78610128168745	-3.14107859087424	min
#000000	1.75346059894141	-2.50407593369593	min
#000000	1.69737287371485	-2.34888818869611	min
#000000	1.70718670661173	-2.31048363896133	min
#000000	1.82945360871855	-1.44575073252536	min
#000000	1.73877341913484	-3.08462869251939	min
#000000	1.68937607351134	-2.99670007671022	min
#000000	1.66064233876493	-2.15542942655967	min
#000000	1.63963565507242	-3.10112081213003	min
#000000	1.64942884563729	-2.52839187533297	min
#000000	1.81997442350751	-0.925521684710518	min
#000000	1.73147397790809	-0.817247982608932	min
#000000	1.67295269137445	-2.50682299270968	min
#000000	1.64730325573662	-1.26993682049862	min
#000000	1.80907423842482	-0.326021571684812	min
#000000	1.70273474429601	-3.35525725095607	min
#000000	1.65048122380753	-2.67715877651206	min
#000000	1.61022686232037	-2.27272662419048	min
#000000	1.78523914799704	-0.862261475229561	min
#000000	1.75346059894141	0.62307438589002	min
#000000	1.7064536073164	-0.840591005720696	min
#000000	1.82528414497544	-1.10205476777236	min
#000000	1.72248476499398	-2.97724590799068	min
#000000	1.67476451289956	-3.72089101089294	min
#000000	1.63158832825324	-2.75466454008234	min
#000000	1.62062427222695	-2.70711558325356	min
#000000	1.64075348118443	-2.90636745840172	min
#000000	1.79485354671244	-0.55627927669626	min
#000000	1.66453268051606	-2.28024160743169	min
#000000	1.62062427222695	-2.53051717348771	min
#000000	1.58099983724182	-2.76480271396371	min
#000000	1.55523479881416	-1.39347105042622	min
#000000	1.60338227392527	-0.793180322236741	min
#000000	1.82722411492142	-1.67279121550302	min
#000000	1.73209601101843	-2.52787586733155	min
#000000	1.68181036945077	-2.08154451912907	min
#000000	1.65359769170101	-2.16668094546636	min
#000000	1.63392835422899	-2.20875680206021	min
#000000	1.64622987198262	-0.616292230650462	min
#000000	1.73455870533473	-0.972854138637188	min
#000000	1.68352353885613	-3.39452617670398	min
#000000	1.65462322824375	-1.53288526485324	min
#000000	1.86753868489165	-0.521072195564131	min
#000000	1.79606119914403	-3.14925667712769	min
#000000	1.78653041485268	-4.00923409312828	min
#000000	1.75346059894141	-2.5484566632	min
#000000	1.69737287371485	-2.34728152976584	min
#000000	1.70718670661173	-2.82998766093002	min
#000000	1.65462322824375	-3.17236835283332	min
#000000	1.82132096623176	1.05754893379799	min
#000000	1.72248476499398	-0.916573228751071	min
#000000	1.66549059875827	-1.29409928716343	min
#000000	1.63737667622902	-0.0326272236490988	min
#000000	1.62312466055847	-0.848516805528328	min
#000000	1.63276252875225	-0.9238681794149	min
#000000	1.8186147503502	-1.29293765625494	min
#000000	1.71363144271043	-3.31622761118866	min
#000000	1.66162385851159	-2.96192491649741	min
#000000	1.6047738008405	-3.7723319114597	min
#000000	1.6047738008405	-3.4561899706806	min
#000000	1.63040563993356	-2.86438043397363	min
#000000	1.86801543418726	-1.29397159667675	min
#000000	1.79565978525711	-3.3355167914644	min
#000000	1.78653041485268	-3.56860709381621	min
#000000	1.75292181070918	-2.36593246795358	min
#000000	1.69737287371485	-3.06669649204961	min
#000000	1.70718670661173	-2.67898552382149	min
#000000	1.62436077364851	-1.87691916360501	min
#000000	1.86801543418726	0.0127322377017196	min
#000000	1.79606119914403	-2.95780809804973	min
#000000	1.78610128168745	-3.10356259633835	min
#000000	1.75399742772108	-1.6465517793645	min
#000000	1.69737287371485	-2.20754059330045	min
#000000	1.70718670661173	-2.65407858011025	min
#000000	1.86825317323007	-0.452426660855183	min
#000000	1.79565978525711	-2.6038632066851	min
#000000	1.78610128168745	-2.88083442649498	min
#000000	1.75346059894141	-1.95131044889145	min
#000000	1.69659148379588	0.338716218064312	min
#000000	1.70718670661173	-1.42388771569479	min
#000000	1.82945360871855	-0.695405694641614	min
#000000	1.73936594503815	-3.41739774529903	min
#000000	1.68855330755176	-3.35269954444052	min
#000000	1.66259937683199	-3.1899522459586	min
#000000	1.63963565507242	-3.23702692397696	min
#000000	1.65152676960581	-0.851716796260891	min
#000000	1.86729967178777	0.43439538863928	min
#000000	1.79565978525711	-2.50870897600165	min
#000000	1.78610128168745	-2.84659337473763	min
#000000	1.69737287371485	-2.31201811386789	min
#000000	1.70718670661173	-0.6666989736113	min
#000000	1.86849049042529	-1.70701329772032	min
#000000	1.79565978525711	-2.93280856237838	min
#000000	1.78523914799704	-3.73500407293296	min
#000000	1.75346059894141	-1.28226465638592	min
#000000	1.69737287371485	-3.19056047906124	min
#000000	1.70718670661173	-2.18891716934164	min
#000000	1.86706023113403	-0.539590271720627	min
#000000	1.79565978525711	-3.52153142516968	min
#000000	1.78610128168745	-3.23476249773549	min
#000000	1.75183830196343	-1.26767843908804	min
#000000	1.69659148379588	-2.76710753878828	min
#000000	1.70718670661173	-2.61511949827895	min
#000000	1.8297691956749	0.95904629409053	min
#000000	1.73995613014164	-1.05682700546683	min
#000000	1.68855330755176	-1.37920755931078	min
#000000	1.66064233876493	-1.4283767149599	min
#000000	1.63963565507242	-1.5268991253433	min
#000000	1.80309919552059	-0.482467182009734	min
#000000	1.70497683162916	-2.56839463234524	min
#000000	1.64942884563729	-1.35061322642102	min
#000000	1.61550704222902	-0.873951957446106	min
#000000	1.60056406759735	-0.951312457140562	min
#000000	1.61808543795914	-1.61367324620232	min
#000000	1.65462322824375	-2.79779872664301	min
#000000	1.62312466055847	-2.43899860933096	min
#000000	1.83743301017525	-1.71681200691995	min
#000000	1.71363144271043	-3.11761195313186	min
#000000	1.69969364431463	-2.80165521998908	min
#000000	1.66644278137904	-2.65034437227595	min
#000000	1.86706023113403	0.367924669969399	min
#000000	1.79565978525711	-2.94421845106435	min
#000000	1.78610128168745	-2.91468326697304	min
#000000	1.75399742772108	-1.39375526594998	min
#000000	1.69737287371485	-1.41166992039528	min
#000000	1.70718670661173	-2.79605561174631	min
#000000	1.83713451074748	-1.92842533040758	min
#000000	1.75874286533891	-2.94690468863996	min
#000000	1.71363144271043	-3.01475629340227	min
#000000	1.69969364431463	-3.78626819982667	min
#000000	1.70045955540144	-2.61577435365693	min
#000000	1.64730325573662	-2.03581874871827	min
#000000	1.59769775015494	-2.12237112586055	min
#000000	1.59913701799709	-2.5611868295483	min
#000000	1.81550620927658	-0.047945903159246	min
#000000	1.71080055520811	-1.75900804930173	min
#000000	1.65462322824375	-1.99619425418287	min
#000000	1.62558767318528	-0.46413145229225	min
#000000	1.60888021170078	-1.99912884438137	min
#000000	1.62436077364851	-1.56842607700506	min
#000000	1.81689632373067	-0.355718542920249	min
#000000	1.72704626726798	-1.00522048632175	min
#000000	1.66738929214146	-1.24188599156765	min
#000000	1.63963565507242	-1.49050570838497	min
#000000	1.61680125683511	-1.5334771067957	min
#000000	1.83008406395481	-0.562252877548748	min
#000000	1.73995613014164	-2.28902681315856	min
#000000	1.68855330755176	-2.34640882268231	min
#000000	1.66356896183731	-1.86091648870677	min
#000000	1.63963565507242	-2.35402690731345	min
#000000	1.65359769170101	-2.96244951129751	min
#000000	1.68855330755176	-4.26359292437522	min
#000000	1.66162385851159	-4.31207055103816	min
#000000	1.83743301017525	-1.13460358046467	min
#000000	1.75874286533891	-2.49097279775984	min
#000000	1.71363144271043	-4.02785466435178	min
#000000	1.69969364431463	-3.64846082284204	min
#000000	1.66644278137904	-3.31084486816356	min
#000000	1.65564225297093	-2.0471474145434	min
#000000	1.86849049042529	-0.24481230232719	min
#000000	1.79606119914403	-2.27310813804802	min
#000000	1.78653041485268	-3.18046735203066	min
#000000	1.75399742772108	-0.914101497846672	min
#000000	1.69737287371485	-1.6649441932193	min
#000000	1.70718670661173	-0.263587493603326	min
#000000	1.82064932125218	-2.79645252650041	min
#000000	1.71641080083817	-2.30450019718439	min
#000000	1.65665484258812	-2.97300862997913	min
#000000	1.62436077364851	-2.21576419084147	min
#000000	1.61420264720442	-3.02218440936092	min
#000000	1.80536958176371	-2.85976914799142	min
#000000	1.71080055520811	-2.297209482344	min
#000000	1.65564225297093	-2.9583524718015	min
#000000	1.62436077364851	-2.23528560169882	min
#000000	1.60888021170078	-1.65101427388573	min
#000000	1.61680125683511	-2.26229631845144	min
#000000	1.83743301017525	-1.85086922718078	min
#000000	1.75874286533891	-3.87240173687422	min
#000000	1.71292862109817	-4.43815981541543	min
#000000	1.69969364431463	-3.68558822403603	min
#000000	1.66644278137904	-4.00037594722086	min
#000000	1.65564225297093	-1.90412738883895	min
#000000	1.85212049388652	0.931257979031606	min
#000000	1.78695826851939	-0.368193634470599	min
#000000	1.77021535062659	-1.12145479071365	min
#000000	1.74516524803776	-0.632484534524401	min
#000000	1.69262435098263	-0.992416477341648	min
#000000	1.695806132463	-0.153127081350909	min
#000000	1.80309919552059	-1.11803866768611	min
#000000	1.69019451893303	-1.73504356763289	min
#000000	1.63508591530806	-1.60238926259024	min
#000000	1.61156271226651	-1.41233465705828	min
#000000	1.58099983724182	-3.11599498781047	min
#000000	1.60615385014149	-1.70964102915681	min
#000000	1.80348013442488	0.189054758221143	min
#000000	1.70122168601435	-3.4461334905342	min
#000000	1.63963565507242	-3.81177253894102	min
#000000	1.6047738008405	-2.654912022966	min
#000000	1.81268388279161	-2.6090564521581	min
#000000	1.71292862109817	-1.63731611074071	min
#000000	1.65359769170101	-2.0374779544102	min
#000000	1.63623532049494	-0.454512700501068	min
#000000	1.60615385014149	-1.12695259574222	min
#000000	1.62187920421241	-2.10700534516295	min
#000000	1.63508591530806	-2.80122589720177	min
#000000	1.59769775015494	-4.10282233424974	min
#000000	1.56773856348363	-3.18024406028391	min
#000000	1.58416058018474	-3.1019360825068	min
#000000	1.86849049042529	-0.0236680327969479	min
#000000	1.79606119914403	-3.44329942480144	min
#000000	1.78567086182247	-2.40275023518171	min
#000000	1.75346059894141	-1.14768339189773	min
#000000	1.69737287371485	-2.14744984005793	min
#000000	1.7064536073164	-3.25442659741327	min
#000000	1.81655008814513	0.00370372910286289	min
#000000	1.67111985628275	-2.04258146717377	min
#000000	1.64406148502088	-0.672767553362923	min
#000000	1.82722411492142	-1.53840971853694	min
#000000	1.73698162118278	-2.00861319770214	min
#000000	1.68605865521564	-2.33927455313899	min
#000000	1.65462322824375	-1.34606219315234	min
#000000	1.63158832825324	-1.78506447627227	min
#000000	1.64406148502088	-1.35734964462865	min
#000000	1.81268388279161	-1.2678147068378	min
#000000	1.70718670661173	-3.55461601879972	min
#000000	1.65048122380753	-4.31008466598584	min
#000000	1.61288792166534	-2.57224291260575	min
#000000	1.60888021170078	-3.38484145165998	min
#000000	1.62187920421241	-2.28391948857203	min
#000000	1.66738929214146	-2.05405532512102	min
#000000	1.64622987198262	-2.86055617117837	min
#000000	1.60888021170078	-3.06118080279895	min
#000000	1.57283234245699	-2.94824301295984	min
#000000	1.86825317323007	-0.221390007789727	min
#000000	1.79565978525711	-1.12682134165194	min
#000000	1.78610128168745	-3.07726562970809	min
#000000	1.75346059894141	-2.08790840774005	min
#000000	1.69659148379588	-1.87493005026693	min
#000000	1.81339480978525	-1.58640683868825	min
#000000	1.70791632199672	-2.42541499146345	min
#000000	1.65048122380753	-1.87616004742021	min
#000000	1.61680125683511	-2.43507906273525	min
#000000	1.6047738008405	-2.32460291910965	min
#000000	1.61680125683511	-2.53368817949528	min
#000000	1.8219893877963	-0.983249301141767	min
#000000	1.72314488705205	-1.97635616512452	min
#000000	1.67476451289956	-2.65052624243602	min
#000000	1.64075348118443	-2.20395159997371	min
#000000	1.66549059875827	-1.36690729652769	min
#000000	1.63276252875225	-1.04406764224954	min
#000000	1.62921434876459	-1.16982384758423	min
#000000	1.64186366394411	-1.54984370441797	min
#000000	1.60888021170078	-1.6372578860689	min
#000000	1.56425716004716	-1.03948968797388	min
#000000	1.54766470898114	-1.56438371049441	min
#000000	1.81052923975445	-1.90620067729107	min
#000000	1.66738929214146	-2.16009601852466	min
#000000	1.61288792166534	-2.27130480207819	min
#000000	1.83319388603157	-2.25574563015126	min
#000000	1.75129355414777	-2.04641033710102	min
#000000	1.70571699287209	-3.08253539851199	min
#000000	1.69181861636243	-2.20147735724585	min
#000000	1.65048122380753	-0.779996750362767	min
#000000	1.8368353613773	-1.15731831435483	min
#000000	1.75926081062039	-2.73452389834398	min
#000000	1.71222255149704	-2.45619990526746	min
#000000	1.69892391754576	-1.29068801100747	min
#000000	1.66644278137904	-1.72236589011416	min
#000000	1.65462322824375	-2.38632725978502	min
#000000	1.83743301017525	-1.16027488543275	min
#000000	1.75926081062039	-3.68410649218239	min
#000000	1.81895591278359	-0.378706530071167	min
#000000	1.71572069625467	-1.09907979132999	min
#000000	1.66549059875827	-2.34281686287384	min
#000000	1.62436077364851	-0.82068404844362	min
#000000	1.86849049042529	-0.88328360814176	min
#000000	1.78653041485268	-3.46215332573839	min
#000000	1.75346059894141	-2.05109926482417	min
#000000	1.69737287371485	-2.73978509253338	min
#000000	1.86729967178777	-1.63413598345516	min
#000000	1.79565978525711	-3.70923936848086	min
#000000	1.78567086182247	-4.20116176863075	min
#000000	1.75238104957734	-2.96206952631804	min
#000000	1.69659148379588	-3.51885510152277	min
#000000	1.80536958176371	-2.24213440221684	min
#000000	1.70791632199672	-3.30328141512525	min
#000000	1.65359769170101	-1.86130054625095	min
#000000	1.61808543795914	-2.04075858592892	min
#000000	1.60752259674322	-2.4539629347367	min
#000000	1.61680125683511	-1.85967242448001	min
#000000	1.86801543418726	0.678819912417934	min
#000000	1.79606119914403	-1.73720686553962	min
#000000	1.78610128168745	-2.22828067107699	min
#000000	1.75238104957734	-0.992503847891358	min
#000000	1.69737287371485	-1.03746441138249	min
#000000	1.70718670661173	-1.21410710993494	min
#000000	1.82658046906389	-1.15140686202873	min
#000000	1.73455870533473	-1.59149164615751	min
#000000	1.68266929472411	-2.20273313280013	min
#000000	1.63623532049494	-2.73328134176675	min
#000000	1.63276252875225	-1.82254564573657	min
#000000	1.64186366394411	-3.40803211237609	min
#000000	1.82913729999432	-0.782329303106817	min
#000000	1.68605865521564	-0.895748524987556	min
#000000	1.65866101678505	-2.32850376833362	min
#000000	1.63508591530806	-2.10461157556035	min
#000000	1.64836955136057	-2.68723484070781	min
#000000	1.69019451893303	-1.76922100141696	min
#000000	1.65965474833333	-4.01262459842965	min
#000000	1.63737667622902	-3.5145932659625	min
#000000	1.66644278137904	-2.89588780992114	min
#000000	1.61288792166534	-2.58398825607238	min
#000000	1.61156271226651	-1.48726828024278	min
#000000	1.66549059875827	-1.41433480633942	min
#000000	1.61808543795914	-1.4029258066291	min
#000000	1.61808543795914	-1.37848285777531	min
#000000	1.83743301017525	-2.45069953032321	min
#000000	1.75874286533891	-2.40457714644155	min
#000000	1.71363144271043	-3.55946166104625	min
#000000	1.69969364431463	-4.00456960240892	min
#000000	1.66644278137904	-3.47534531660268	min
#000000	1.65564225297093	-2.98960653088515	min
#000000	1.83773086231239	-1.52912565451878	min
#000000	1.71363144271043	-2.11193412204015	min
#000000	1.69969364431463	-2.99568208440045	min
#000000	1.7890785923346	-1.32260658669116	min
#000000	1.65965474833333	-2.67637043921807	min
#000000	1.61420264720442	-1.41221220275887	min
#000000	1.54176463442812	-1.90467516526031	min
#000000	1.56773856348363	-1.37852414798631	min
#000000	1.60197909050574	-3.10301840645275	min
#000000	1.7944487099264	-0.837543335614564	min
#000000	1.68094671489461	-3.26197749191176	min
#000000	1.64406148502088	-3.52587391266343	min
#000000	1.60752259674322	-1.53643432767159	min
#000000	1.86872738718107	-1.75877432574383	min
#000000	1.79606119914403	-1.5568417665032	min
#000000	1.78653041485268	-1.83017984086503	min
#000000	1.75346059894141	-1.86376551913144	min
#000000	1.69737287371485	-3.47823583972983	min
#000000	1.70718670661173	-1.66707315488238	min
#000000	1.80536958176371	-1.01731324956923	min
#000000	1.708642484306	-1.75893935715258	min
#000000	1.65359769170101	-2.77559724165218	min
#000000	1.62187920421241	-2.53966459869472	min
#000000	1.61022686232037	-3.02683221003667	min
#000000	1.61935972946482	-2.56337069000102	min
#000000	1.86801543418726	-0.468300691976476	min
#000000	1.79606119914403	-2.05975696863553	min
#000000	1.78480613289032	-2.36843387101523	min
#000000	1.75238104957734	-0.87988866341376	min
#000000	1.69659148379588	-1.85109086719582	min
#000000	1.7064536073164	-1.0409887302424	min
#000000	1.83773086231239	-1.40087738712502	min
#000000	1.75926081062039	0.512085739206851	min
#000000	1.71151320571678	-2.58543115245917	min
#000000	1.69892391754576	-0.480703594951098	min
#000000	1.56600662976001	-1.9398367945176	min
#000000	1.83743301017525	-2.09828912866103	min
#000000	1.69969364431463	-3.92249860528732	min
#000000	1.77995492618944	-1.4673794260594	min
#000000	1.80117896832861	0.443473656560146	min
#000000	1.68094671489461	-1.77998984896765	min
#000000	1.63508591530806	-1.8897244470041	min
#000000	1.60056406759735	-0.404646713116488	min
#000000	1.57115110896884	-1.83449738153483	min
#000000	1.60197909050574	-1.2894675378606	min
#000000	1.8660981640486	0.0918688337006144	min
#000000	1.79485354671244	-2.94235418352221	min
#000000	1.78306091109248	-2.69431953159698	min
#000000	1.75238104957734	-1.39169376284195	min
#000000	1.69422339421838	-2.29683325314449	min
#000000	1.70571699287209	-1.16698540274195	min
#000000	1.78349920575837	-1.14689176196433	min
#000000	1.65152676960581	-1.10848910684543	min
#000000	1.60615385014149	-1.61684370207826	min
#000000	1.61550704222902	-0.185337700430103	min
#000000	1.63158832825324	-2.05877454488691	min
#000000	1.83773086231239	-1.55718822371966	min
#000000	1.69969364431463	-3.90916313527447	min
#000000	1.83743301017525	-0.513882229855861	min
#000000	1.7582230880035	-3.450873922835	min
#000000	1.71363144271043	-3.02209394810166	min
#000000	1.69892391754576	-3.97458092881313	min
#000000	1.66644278137904	-3.57901135468839	min
#000000	1.65564225297093	-2.1845818324618	min
#000000	1.60752259674322	-1.28325613429984	min
#000000	1.817929914244	-2.64871500704907	min
#000000	1.72704626726798	-2.35524198526938	min
#000000	1.67476451289956	-2.06841009253743	min
#000000	1.63276252875225	-2.15654935176568	min
#000000	1.61935972946482	-2.64259420433279	min
#000000	1.62921434876459	-1.07158191784654	min
#000000	1.77539857903224	0.808521532806673	min
#000000	1.67566268329655	-1.1035982775662	min
#000000	1.86753868489165	-1.19519373794957	min
#000000	1.7952572364601	-2.58178229178325	min
#000000	1.78567086182247	-2.20316933642913	min
#000000	1.75346059894141	-2.4156458468058	min
#000000	1.69737287371485	-1.39957666702586	min
#000000	1.70718670661173	-2.15274252400994	min
#000000	1.83713451074748	-0.718469569460797	min
#000000	1.75770146642842	-2.71593599087846	min
#000000	1.71222255149704	-3.6120058126976	min
#000000	1.69892391754576	-4.24531211334397	min
#000000	1.66644278137904	-3.23872278755771	min
#000000	1.65564225297093	-2.24218001412292	min
#000000	1.86849049042529	-0.243463402947755	min
#000000	1.79606119914403	-3.70091209448783	min
#000000	1.78610128168745	-2.59683712522022	min
#000000	1.75346059894141	-1.04759596022814	min
#000000	1.69737287371485	-1.77410055491338	min
#000000	1.70718670661173	-1.5905440503624	min
#000000	1.82786478490271	-0.203740735438541	min
#000000	1.7363795556717	-0.570155370476839	min
#000000	1.68855330755176	-1.43235256153961	min
#000000	1.63158832825324	-1.87814483038581	min
#000000	1.81052923975445	-2.71814742391033	min
#000000	1.60338227392527	-3.02466166158783	min
#000000	1.86849049042529	1.35771468416398	min
#000000	1.79565978525711	-1.98934840584215	min
#000000	1.78567086182247	-1.75312661547378	min
#000000	1.75292181070918	0.025334211665232	min
#000000	1.69659148379588	-0.873625595773117	min
#000000	1.70718670661173	-1.87529412895983	min
#000000	1.78610128168745	-2.76765875144411	min
#000000	1.70045955540144	-2.50569279988668	min
#000000	1.65359769170101	-2.66554506619169	min
#000000	1.6047738008405	-2.73032596430474	min
#000000	1.60888021170078	-3.8898251477571	min
#000000	1.63392835422899	-1.72663228120733	min
#000000	1.79606119914403	-2.65890716400134	min
#000000	1.6910086860166	-3.06579295372194	min
#000000	1.63623532049494	-3.97938507426072	min
#000000	1.59913701799709	-3.4892329380179	min
#000000	1.59031111151726	-2.37038344030867	min
#000000	1.82818401200593	0.182631411744371	min
#000000	1.73333240671587	-0.925522100513634	min
#000000	1.68437314927593	-1.73270391920564	min
#000000	1.64296630020017	-0.675425511765496	min
#000000	1.63392835422899	-0.753680790502552	min
#000000	1.64406148502088	-0.38183963133417	min
#000000	1.83008406395481	-0.00320647052442321	min
#000000	1.68605865521564	-2.3141828568592	min
#000000	1.65965474833333	-2.34033026223059	min
#000000	1.63737667622902	1.59340279789167	min
#000000	1.8368353613773	-1.32354130193203	min
#000000	1.75926081062039	-4.54713302131993	min
#000000	1.71222255149704	-4.49495316918562	min
#000000	1.69892391754576	-3.45386826668559	min
#000000	1.66644278137904	-4.68113799024105	min
#000000	1.65462322824375	-3.47494118552653	min
#000000	1.80649123451993	-2.09690318324723	min
